time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/value_loss,train/entropy_loss,train/learning_rate
150,842,62,126976,-0.00956232572789304,0.8859031,0.178564453125,610,-0.014840150251984596,0.2,0.018907554,0.012600566451146733,-0.505531266424805,0.0003
153,842,63,129024,-0.01573168225004338,0.9165011,0.2294921875,620,-0.011001992039382458,0.2,0.031181017,0.006778985079290578,-0.5893159680999815,0.0003
155,842,64,131072,-0.008287012232176493,0.8578218,0.154345703125,630,-0.009951073676347733,0.2,0.01979009,0.008694821382232477,-0.5477342484518886,0.0003
157,842,65,133120,-0.019133428011264185,0.82921624,0.21640625,640,-0.03568337857723236,0.2,0.07091766,0.007692077811225317,-0.513523424230516,0.0003
160,842,66,135168,-0.017069184775755274,0.6965476,0.280517578125,650,-0.0787612572312355,0.2,0.09602976,0.04483816357678734,-0.8653654053807258,0.0003
162,842,67,137216,-0.02176494310115231,0.7333194,0.28134765625,660,-0.041449420154094696,0.2,0.058079157,0.0328917473758338,-0.8519576333463192,0.0003
165,842,68,139264,-0.02083500717926654,0.9550918,0.24609375,670,-0.01171911135315895,0.2,0.023266952,0.01268238937773276,-0.8421103039756417,0.0003
167,842,69,141312,-0.041142221311747565,0.21129584,0.34931640625,680,-0.05098370090126991,0.2,0.054950554,0.011367054832226131,-0.5076384383253754,0.0003
170,842,70,143360,-0.010335839717299677,0.953117,0.214208984375,690,-0.03567216172814369,0.2,0.0340187,0.020377185140387156,-0.661333841457963,0.0003
172,842,71,145408,-0.024981576060235967,0.9499459,0.322705078125,700,0.1222958192229271,0.2,0.068579644,0.011467958490538877,-0.6700513393618166,0.0003
175,841,72,147456,-0.009759574396593963,0.9656228,0.2158203125,710,-0.016257014125585556,0.2,0.036897615,0.010260342256515287,-0.5827520506456494,0.0003
177,842,73,149504,-0.030604403097822797,0.788192,0.289111328125,720,-0.054202694445848465,0.2,0.067579955,0.01345199620409403,-0.7490115022286773,0.0003
180,841,74,151552,-0.027488308810279704,0.9477897,0.243505859375,730,-0.03674968704581261,0.2,0.029430255,0.010169464349746703,-0.7429724168032408,0.0003
182,842,75,153600,-0.02226462875623838,0.85579926,0.24658203125,740,-0.031152896583080292,0.2,0.031347275,0.010421741555910557,-0.5291968267410994,0.0003
184,841,76,155648,-0.010825519611535129,0.78335583,0.19140625,750,-0.021427810192108154,0.2,0.028048106,0.01603866846708115,-0.6538878727704287,0.0003
187,841,77,157696,-0.01997332081082277,0.9517781,0.2484375,760,-0.05002526193857193,0.2,0.024523292,0.007017731109226588,-0.8859082223847509,0.0003
189,841,78,159744,-0.012394619185943156,0.9154759,0.179052734375,770,-0.020927362143993378,0.2,0.034377567,0.011976159023470245,-0.7237863959744573,0.0003
192,841,79,161792,-0.025170911155873908,0.9690118,0.28349609375,780,-0.04639948159456253,0.2,0.039572813,0.007386069158383179,-0.8721570646390319,0.0003
194,841,80,163840,-0.020350965080433527,0.8196503,0.2267578125,790,-0.01388569176197052,0.2,0.030206297,0.011031589967024047,-0.5398829412646592,0.0003
197,841,81,165888,-0.011821999459061771,0.43265915,0.220654296875,800,-0.06599915027618408,0.2,0.05490467,0.008211838324496058,-0.5650235439650715,0.0003
199,841,82,167936,-0.0173160633596126,0.95013165,0.24404296875,810,0.030500805005431175,0.2,0.023428487,0.006523283028946026,-0.9919826241210103,0.0003
202,841,83,169984,-0.013133172063680832,0.15388769,0.2298828125,820,-0.055634405463933945,0.2,0.05359687,0.055587176172412,-0.7071523293852806,0.0003
204,841,84,172032,-0.03755494864599314,0.8812907,0.28642578125,830,-0.06425125896930695,0.2,0.038272962,0.005283293085813057,-0.9517630286514759,0.0003
206,841,85,174080,-0.021955585488467478,0.9414688,0.2287109375,840,-0.0679895207285881,0.2,0.029741127,0.007621376277529635,-0.7806037314236164,0.0003
209,841,86,176128,-0.012983060473925435,0.9349567,0.18955078125,850,-0.03516364470124245,0.2,0.0278272,0.008146976905118208,-0.7145813249051571,0.0003
211,840,87,178176,-0.014953700722253415,0.8945282,0.200634765625,860,-0.0320216603577137,0.2,0.049429685,0.007752639235695824,-0.6088137256912887,0.0003
214,840,88,180224,-0.003427009422739502,0.96471447,0.158544921875,870,0.009464002214372158,0.2,0.014229449,0.008937100936600472,-0.7245820250362158,0.0003
216,840,89,182272,-0.0040027241571806375,0.9814369,0.29736328125,880,-0.015080498531460762,0.2,0.0852359,0.004425891086430056,-0.7275506880134344,0.0003
219,840,90,184320,-0.02659674009628361,0.96217626,0.233154296875,890,-0.01385508757084608,0.2,0.030540343,0.007860452363820514,-0.820273532345891,0.0003
221,840,91,186368,-0.012371865712339059,0.9488904,0.158154296875,900,-0.05141623690724373,0.2,0.029272093,0.012734575185459108,-0.6365303555503488,0.0003
224,840,92,188416,-0.003302652115235105,0.89887846,0.147900390625,910,-0.011715970002114773,0.2,0.019128196,0.013682739513751586,-0.5517973338253797,0.0003
